fecha,liga,temporada,equipo_local,equipo_visitante,goles_local,goles_visitante,corners_local,corners_visitante,total_goles,total_corners,ambos_marcan,over_2_5
2019-08-03,Scottish Premiership,2019-20,Celtic,St Johnstone,7,0,8,0,7,8,0,1
2019-08-03,Scottish Premiership,2019-20,Hibernian,St Mirren,1,0,4,5,1,9,0,0
2019-08-03,Scottish Premiership,2019-20,Livingston,Motherwell,0,0,5,10,0,15,0,0
2019-08-03,Scottish Premiership,2019-20,Ross County,Hamilton,3,0,9,6,3,15,0,1
2019-08-04,Scottish Premiership,2019-20,Kilmarnock,Rangers,1,2,2,7,3,9,1,1
2019-08-04,Scottish Premiership,2019-20,Aberdeen,Hearts,3,2,4,4,5,8,1,1
2019-08-10,Scottish Premiership,2019-20,Hamilton,Kilmarnock,2,0,1,17,2,18,0,0
2019-08-10,Scottish Premiership,2019-20,Hearts,Ross County,0,0,8,6,0,14,0,0
2019-08-10,Scottish Premiership,2019-20,Motherwell,Celtic,2,5,5,5,7,10,1,1
2019-08-10,Scottish Premiership,2019-20,St Johnstone,Livingston,2,2,2,5,4,7,1,1
2019-08-11,Scottish Premiership,2019-20,Rangers,Hibernian,6,1,14,2,7,16,1,1
2019-08-11,Scottish Premiership,2019-20,St Mirren,Aberdeen,1,0,3,9,1,12,0,0
2019-08-24,Scottish Premiership,2019-20,Hamilton,Motherwell,1,3,2,11,4,13,1,1
2019-08-24,Scottish Premiership,2019-20,Hibernian,St Johnstone,2,2,5,5,4,10,1,1
2019-08-24,Scottish Premiership,2019-20,Kilmarnock,Aberdeen,0,0,2,4,0,6,0,0
2019-08-24,Scottish Premiership,2019-20,Ross County,Livingston,1,4,6,5,5,11,1,1
2019-08-25,Scottish Premiership,2019-20,St Mirren,Rangers,0,1,3,6,1,9,0,0
2019-08-25,Scottish Premiership,2019-20,Celtic,Hearts,3,1,7,3,4,10,1,1
2019-08-31,Scottish Premiership,2019-20,St Johnstone,Kilmarnock,0,1,5,3,1,8,0,0
2019-08-31,Scottish Premiership,2019-20,Livingston,St Mirren,2,1,4,2,3,6,1,1
2019-08-31,Scottish Premiership,2019-20,Motherwell,Hibernian,3,0,6,3,3,9,0,1
2019-08-31,Scottish Premiership,2019-20,Aberdeen,Ross County,3,0,6,2,3,8,0,1
2019-08-31,Scottish Premiership,2019-20,Hearts,Hamilton,2,2,6,8,4,14,1,1
2019-09-01,Scottish Premiership,2019-20,Rangers,Celtic,0,2,8,5,2,13,0,0
2019-09-14,Scottish Premiership,2019-20,Ross County,St Mirren,2,1,5,1,3,6,1,1
2019-09-14,Scottish Premiership,2019-20,Hamilton,Celtic,0,1,1,4,1,5,0,0
2019-09-14,Scottish Premiership,2019-20,Aberdeen,St Johnstone,1,1,6,4,2,10,1,0
2019-09-14,Scottish Premiership,2019-20,Hearts,Motherwell,2,3,1,4,5,5,1,1
2019-09-14,Scottish Premiership,2019-20,Kilmarnock,Hibernian,2,0,3,2,2,5,0,0
2019-09-14,Scottish Premiership,2019-20,Rangers,Livingston,3,1,9,2,4,11,1,1
2019-09-21,Scottish Premiership,2019-20,St Mirren,Hamilton,0,0,8,6,0,14,0,0
2019-09-21,Scottish Premiership,2019-20,Motherwell,Ross County,1,2,6,4,3,10,1,1
2019-09-21,Scottish Premiership,2019-20,Livingston,Aberdeen,0,2,3,3,2,6,0,0
2019-09-22,Scottish Premiership,2019-20,St Johnstone,Rangers,0,4,2,7,4,9,0,1
2019-09-22,Scottish Premiership,2019-20,Celtic,Kilmarnock,3,1,5,4,4,9,1,1
2019-09-22,Scottish Premiership,2019-20,Hibernian,Hearts,1,2,7,7,3,14,1,1
2019-09-28,Scottish Premiership,2019-20,St Johnstone,Motherwell,0,1,6,3,1,9,0,0
2019-09-28,Scottish Premiership,2019-20,Rangers,Aberdeen,5,0,7,1,5,8,0,1
2019-09-28,Scottish Premiership,2019-20,St Mirren,Hearts,0,0,3,8,0,11,0,0
2019-09-28,Scottish Premiership,2019-20,Hamilton,Livingston,2,1,4,7,3,11,1,1
2019-09-28,Scottish Premiership,2019-20,Hibernian,Celtic,1,1,1,4,2,5,1,0
2019-09-28,Scottish Premiership,2019-20,Kilmarnock,Ross County,0,0,2,4,0,6,0,0
2019-10-05,Scottish Premiership,2019-20,Motherwell,St Mirren,2,0,2,9,2,11,0,0
2019-10-05,Scottish Premiership,2019-20,Ross County,St Johnstone,2,2,6,12,4,18,1,1
2019-10-05,Scottish Premiership,2019-20,Aberdeen,Hibernian,1,1,9,5,2,14,1,0
2019-10-05,Scottish Premiership,2019-20,Hearts,Kilmarnock,0,1,5,2,1,7,0,0
2019-10-06,Scottish Premiership,2019-20,Livingston,Celtic,2,0,0,7,2,7,0,0
2019-10-06,Scottish Premiership,2019-20,Rangers,Hamilton,5,0,8,0,5,8,0,1
2019-10-19,Scottish Premiership,2019-20,Celtic,Ross County,6,0,12,0,6,12,0,1
2019-10-19,Scottish Premiership,2019-20,Hamilton,Hibernian,1,1,6,8,2,14,1,0
2019-10-19,Scottish Premiership,2019-20,Kilmarnock,Livingston,2,1,2,2,3,4,1,1
2019-10-19,Scottish Premiership,2019-20,Motherwell,Aberdeen,0,3,2,5,3,7,0,1
2019-10-19,Scottish Premiership,2019-20,St Mirren,St Johnstone,2,0,6,1,2,7,0,0
2019-10-20,Scottish Premiership,2019-20,Hearts,Rangers,1,1,2,9,2,11,1,0
2019-10-26,Scottish Premiership,2019-20,St Johnstone,Hamilton,3,2,10,3,5,13,1,1
