fecha,liga,temporada,equipo_local,equipo_visitante,goles_local,goles_visitante,corners_local,corners_visitante,amarillas_local,amarillas_visitante,rojas_local,rojas_visitante,total_goles,total_corners,total_amarillas,total_rojas,ambos_marcan,over_2_5
2018-08-25,Super League Greece,2018-19,AEK,Giannina,2,0,2,3,2,4,0,0,2,5,6,0,0,0
2018-08-25,Super League Greece,2018-19,Apollon,Larisa,0,1,5,2,2,4,0,0,1,7,6,0,0,0
2018-08-25,Super League Greece,2018-19,Panetolikos,Atromitos,1,2,4,4,3,4,0,0,3,8,7,0,1,1
2018-08-25,Super League Greece,2018-19,PAOK,Asteras Tripolis,1,0,4,6,2,4,0,0,1,10,6,0,0,0
2018-08-26,Super League Greece,2018-19,Olympiakos,Levadeiakos,1,0,8,0,1,7,0,0,1,8,8,0,0,0
2018-08-26,Super League Greece,2018-19,Panionios,OFI Crete,2,2,9,3,4,2,0,0,4,12,6,0,1,1
2018-08-26,Super League Greece,2018-19,Xanthi,Panathinaikos,0,1,1,2,2,4,1,0,1,3,6,1,0,0
2018-08-27,Super League Greece,2018-19,Lamia,Aris,0,3,5,4,3,2,0,0,3,9,5,0,0,1
2018-09-01,Super League Greece,2018-19,Asteras Tripolis,AEK,0,1,1,7,2,4,0,0,1,8,6,0,0,0
2018-09-01,Super League Greece,2018-19,Atromitos,Xanthi,0,0,5,3,2,4,0,0,0,8,6,0,0,0
2018-09-01,Super League Greece,2018-19,Panathinaikos,Lamia,3,1,2,1,2,3,0,0,4,3,5,0,1,1
2018-09-02,Super League Greece,2018-19,Olympiakos,Giannina,5,0,4,2,1,4,0,0,5,6,5,0,0,1
2018-09-02,Super League Greece,2018-19,Panionios,PAOK,0,1,3,4,0,2,0,0,1,7,2,0,0,0
2018-09-02,Super League Greece,2018-19,Aris,Larisa,2,0,5,2,1,6,0,0,2,7,7,0,0,0
2018-09-03,Super League Greece,2018-19,Levadeiakos,Apollon,1,0,5,1,3,2,1,0,1,6,5,1,0,0
2018-09-03,Super League Greece,2018-19,Panetolikos,OFI Crete,2,1,2,5,5,8,0,0,3,7,13,0,1,1
2018-09-15,Super League Greece,2018-19,AEK,Panionios,4,0,7,0,0,1,0,0,4,7,1,0,0,1
