fecha,liga,temporada,equipo_local,equipo_visitante,goles_local,goles_visitante,corners_local,corners_visitante,total_goles,total_corners,ambos_marcan,over_2_5
2023-08-18,Super League Greece,2023-24,Volos NFC,Lamia,2,2,7,0,4,7,1,1
2023-08-20,Super League Greece,2023-24,Giannina,Kifisia,3,0,7,2,3,9,0,1
2023-08-20,Super League Greece,2023-24,OFI Crete,Aris,3,2,3,4,5,7,1,1
2023-08-20,Super League Greece,2023-24,PAOK,Asteras Tripolis,3,0,3,1,3,4,0,1
2023-08-20,Super League Greece,2023-24,Olympiakos,Panserraikos,2,0,8,3,2,11,0,0
2023-08-25,Super League Greece,2023-24,Panetolikos,Giannina,0,0,2,3,0,5,0,0
2023-08-26,Super League Greece,2023-24,Asteras Tripolis,OFI Crete,3,0,3,4,3,7,0,1
2023-08-26,Super League Greece,2023-24,Panathinaikos,Volos NFC,3,0,6,1,3,7,0,1
2023-08-26,Super League Greece,2023-24,AEK,Panserraikos,1,1,12,1,2,13,1,0
2023-08-27,Super League Greece,2023-24,Lamia,Aris,1,0,2,2,1,4,0,0
2023-08-27,Super League Greece,2023-24,PAOK,Kifisia,2,1,8,5,3,13,1,1
2023-08-27,Super League Greece,2023-24,Olympiakos,Atromitos,4,0,5,2,4,7,0,1
2023-09-01,Super League Greece,2023-24,Kifisia,Atromitos,2,1,5,8,3,13,1,1
2023-09-02,Super League Greece,2023-24,Panserraikos,Panetolikos,1,1,4,6,2,10,1,0
2023-09-03,Super League Greece,2023-24,Giannina,Panathinaikos,0,1,2,8,1,10,0,0
2023-09-03,Super League Greece,2023-24,Volos NFC,AEK,2,3,3,8,5,11,1,1
2023-09-03,Super League Greece,2023-24,Aris,Asteras Tripolis,3,2,3,5,5,8,1,1
2023-09-03,Super League Greece,2023-24,OFI Crete,PAOK,1,0,1,5,1,6,0,0
2023-09-03,Super League Greece,2023-24,Olympiakos,Lamia,4,0,5,2,4,7,0,1
2023-09-16,Super League Greece,2023-24,Lamia,OFI Crete,2,2,6,7,4,13,1,1
2023-09-16,Super League Greece,2023-24,Panetolikos,Panathinaikos,0,5,3,6,5,9,0,1
2023-09-17,Super League Greece,2023-24,Asteras Tripolis,Giannina,2,2,8,1,4,9,1,1
2023-09-17,Super League Greece,2023-24,Kifisia,Panserraikos,4,4,3,3,8,6,1,1
2023-09-17,Super League Greece,2023-24,PAOK,Aris,0,0,7,1,0,8,0,0
2023-09-17,Super League Greece,2023-24,AEK,Olympiakos,1,1,5,5,2,10,1,0
2023-09-18,Super League Greece,2023-24,Atromitos,Volos NFC,1,1,4,1,2,5,1,0
2023-09-23,Super League Greece,2023-24,OFI Crete,Atromitos,1,1,8,4,2,12,1,0
2023-09-23,Super League Greece,2023-24,Panserraikos,Lamia,2,0,3,1,2,4,0,0
2023-09-24,Super League Greece,2023-24,Giannina,PAOK,1,3,8,6,4,14,1,1
2023-09-24,Super League Greece,2023-24,Volos NFC,Asteras Tripolis,1,2,1,5,3,6,1,1
2023-09-24,Super League Greece,2023-24,Olympiakos,Kifisia,4,0,7,1,4,8,0,1
2023-09-24,Super League Greece,2023-24,Aris,Panetolikos,3,0,6,5,3,11,0,1
2023-09-25,Super League Greece,2023-24,Panathinaikos,AEK,1,2,6,6,3,12,1,1
2023-09-27,Super League Greece,2023-24,Panetolikos,OFI Crete,1,1,3,7,2,10,1,0
2023-09-27,Super League Greece,2023-24,Kifisia,Lamia,1,1,6,8,2,14,1,0
2023-09-27,Super League Greece,2023-24,Olympiakos,Aris,4,1,8,1,5,9,1,1
2023-09-27,Super League Greece,2023-24,PAOK,Volos NFC,3,0,5,3,3,8,0,1
2023-09-28,Super League Greece,2023-24,Panserraikos,Giannina,3,2,4,4,5,8,1,1
2023-09-28,Super League Greece,2023-24,Asteras Tripolis,Panathinaikos,1,4,2,4,5,6,1,1
2023-09-28,Super League Greece,2023-24,AEK,Atromitos,2,1,6,1,3,7,1,1
2023-10-01,Super League Greece,2023-24,Panathinaikos,PAOK,2,2,7,2,4,9,1,1
2023-10-01,Super League Greece,2023-24,Lamia,Panetolikos,1,0,2,5,1,7,0,0
2023-10-01,Super League Greece,2023-24,Aris,Kifisia,1,1,5,3,2,8,1,0
2023-10-01,Super League Greece,2023-24,Giannina,Olympiakos,0,3,2,6,3,8,0,1
2023-10-02,Super League Greece,2023-24,OFI Crete,AEK,2,0,2,4,2,6,0,0
2023-10-02,Super League Greece,2023-24,Atromitos,Asteras Tripolis,0,0,4,5,0,9,0,0
2023-10-08,Super League Greece,2023-24,AEK,Panetolikos,3,0,9,5,3,14,0,1
2023-10-08,Super League Greece,2023-24,Panathinaikos,Atromitos,5,0,2,1,5,3,0,1
2023-10-20,Super League Greece,2023-24,Lamia,Giannina,2,1,4,3,3,7,1,1
2023-10-21,Super League Greece,2023-24,Panetolikos,Volos NFC,2,0,3,6,2,9,0,0
2023-10-21,Super League Greece,2023-24,Aris,Panserraikos,1,0,8,2,1,10,0,0
2023-10-22,Super League Greece,2023-24,Asteras Tripolis,AEK,0,3,2,3,3,5,0,1
2023-10-22,Super League Greece,2023-24,Kifisia,OFI Crete,0,0,5,4,0,9,0,0
2023-10-22,Super League Greece,2023-24,Olympiakos,Panathinaikos,0,3,0,0,3,0,0,1
